"Date","Price","Open","High","Low","Vol.","Change %"
"01/01/2021","115,068","119,024","125,324","114,887","186.73M","-3.32%"
"12/01/2020","119,017","108,897","120,150","108,897","177.05M","9.30%"
"11/01/2020","108,893","93,968","111,603","93,968","217.76M","15.90%"
"10/01/2020","93,952","94,604","102,218","93,387","198.14M","-0.69%"
"09/01/2020","94,603","99,382","103,226","93,408","190.35M","-4.80%"
"08/01/2020","99,369","102,913","104,523","98,513","202.70M","-3.44%"
"07/01/2020","102,912","95,062","105,704","95,062","221.52M","8.26%"
"06/01/2020","95,056","87,395","97,693","86,837","232.33M","8.76%"
"05/01/2020","87,403","80,501","88,091","75,697","220.36M","8.57%"
"04/01/2020","80,506","73,011","83,598","67,802","209.52M","10.25%"
"03/01/2020","73,020","104,260","108,804","61,691","270.53M","-29.90%"
"02/01/2020","104,172","113,761","117,701","99,951","126.65M","-8.43%"
"01/01/2020","113,761","115,652","119,593","112,825","122.06M","-1.63%"
"12/01/2019","115,645","108,233","117,803","108,190","99.88M","6.85%"
"11/01/2019","108,233","107,221","109,672","105,261","95.99M","0.94%"
"10/01/2019","107,220","104,745","108,408","99,826","103.19M","2.36%"
"09/01/2019","104,745","101,133","106,001","99,406","97.54M","3.57%"
"08/01/2019","101,135","101,819","104,848","95,855","119.85M","-0.66%"
"07/01/2019","101,812","100,973","106,650","100,073","97.40M","0.84%"
"06/01/2019","100,967","97,036","102,617","95,686","90.98M","4.06%"
"05/01/2019","97,030","96,339","97,992","89,409","101.11M","0.70%"
"04/01/2019","96,353","95,423","97,610","92,338","93.19M","0.98%"
"03/01/2019","95,415","95,584","100,439","91,584","89.38M","-0.18%"
"02/01/2019","95,584","97,395","98,589","93,424","97.94M","-1.86%"
"01/01/2019","97,394","87,887","98,405","87,536","109.60M","10.82%"
