"Date","Price","Open","High","Low","Vol.","Change %"
"01/01/2022","755.20","802.50","812.55","734.42","1.76B","-5.36%"
"12/01/2021","797.93","783.84","809.16","755.57","1.50B","2.64%"
"11/01/2021","777.39","815.25","829.66","774.31","1.80B","-4.13%"
"10/01/2021","810.91","761.82","818.31","751.06","1.61B","5.05%"
"09/01/2021","771.94","793.39","804.47","771.79","1.71B","-1.99%"
"08/01/2021","787.62","760.48","792.54","754.46","1.50B","4.42%"
"07/01/2021","754.31","734.71","759.35","716.23","1.48B","3.40%"
"06/01/2021","729.52","712.81","736.33","712.42","1.59B","2.84%"
"05/01/2021","709.36","709.93","719.29","677.88","1.64B","0.25%"
"04/01/2021","707.56","707.05","719.26","699.06","1.58B","1.10%"
"03/01/2021","699.85","662.02","704.25","649.97","2.49B","7.46%"
"02/01/2021","651.26","642.66","689.24","642.22","2.12B","2.22%"
"01/01/2021","637.11","632.02","667.85","628.98","1.89B","2.00%"
"12/01/2020","624.61","609.00","633.12","602.64","1.95B","3.07%"
"11/01/2020","606.02","535.41","615.11","533.39","2.84B","13.51%"
"10/01/2020","533.88","551.17","575.52","527.86","2.26B","-2.52%"
"09/01/2020","547.70","552.78","568.08","533.22","2.04B","-0.27%"
"08/01/2020","549.20","546.52","575.71","544.96","1.70B","0.72%"
"07/01/2020","545.29","561.01","587.03","543.63","1.98B","-2.58%"
"06/01/2020","559.73","540.47","576.45","529.78","3.03B","5.10%"
"05/01/2020","532.57","496.54","539.62","490.79","2.57B","3.83%"
"04/01/2020","512.92","468.99","528.69","465.29","2.83B","6.10%"
"03/01/2020","483.44","550.95","562.26","389.60","4.97B","-10.37%"
"02/01/2020","539.38","591.43","632.12","531.18","2.04B","-8.50%"
"01/01/2020","589.50","608.01","616.46","589.44","1.49B","-2.49%"
"12/01/2019","604.58","598.17","612.49","581.02","1.25B","1.22%"
"11/01/2019","597.29","578.25","602.37","578.11","1.40B","3.58%"
"10/01/2019","576.63","582.65","585.25","553.85","1.75B","-0.62%"
"09/01/2019","580.23","559.25","580.52","556.48","1.63B","3.92%"
"08/01/2019","558.35","564.98","572.46","528.68","1.92B","-2.40%"
"07/01/2019","572.09","569.22","586.32","564.55","1.54B","1.84%"
"06/01/2019","561.76","535.90","566.67","534.49","1.43B","3.94%"
"05/01/2019","540.49","568.87","571.11","537.48","1.47B","-5.44%"
"04/01/2019","571.60","552.89","571.91","552.01","1.41B","4.12%"
"03/01/2019","548.98","543.06","555.55","529.72","1.81B","1.47%"
"02/01/2019","541.05","521.82","544.88","519.74","1.72B","3.92%"
"01/01/2019","520.63","479.91","521.02","477.05","1.94B","6.71%"
