"Date","Price","Open","High","Low","Vol.","Change %"
"01/01/2024","11,333.38","11,204.85","11,473.57","11,088.62","471.14M","1.76%"
"12/01/2023","11,137.79","10,888.57","11,333.91","10,851.92","466.57M","2.61%"
"11/01/2023","10,854.32","10,453.52","10,879.52","10,424.47","623.96M","4.46%"
"10/01/2023","10,391.16","10,975.18","11,069.27","10,251.33","501.54M","-5.22%"
"09/01/2023","10,963.50","11,100.55","11,244.12","10,814.94","503.13M","-1.46%"
"08/01/2023","11,125.95","11,154.53","11,244.64","10,749.38","488.04M","-1.62%"
"07/01/2023","11,309.25","11,288.15","11,399.49","10,851.84","402.15M","0.26%"
"06/01/2023","11,280.29","11,266.31","11,490.78","11,070.61","685.29M","0.56%"
"05/01/2023","11,217.89","11,460.05","11,616.37","11,194.94","968.91M","-1.92%"
"04/01/2023","11,437.14","11,112.31","11,549.03","11,042.76","837.15M","2.98%"
"03/01/2023","11,106.24","11,091.90","11,203.67","10,395.33","2.87B","0.07%"
"02/01/2023","11,098.35","11,299.53","11,361.73","11,034.48","1.14B","-1.66%"
"01/01/2023","11,285.78","10,853.91","11,453.64","10,822.76","1.04B","5.19%"
"12/01/2022","10,729.40","11,215.50","11,283.87","10,659.19","1.22B","-3.58%"
"11/01/2022","11,127.77","10,870.09","11,252.16","10,633.38","1.07B","2.77%"
"10/01/2022","10,827.93","10,182.27","10,850.31","10,010.78","1.01B","5.46%"
"09/01/2022","10,267.55","10,768.61","11,083.49","10,015.37","943.09M","-5.41%"
"08/01/2022","10,855.03","11,118.11","11,241.18","10,816.54","685.83M","-2.61%"
"07/01/2022","11,145.91","10,647.02","11,216.76","10,631.55","776.55M","3.77%"
"06/01/2022","10,741.21","11,682.24","11,692.66","10,349.65","1.01B","-7.49%"
"05/01/2022","11,611.38","12,081.23","12,097.98","11,233.72","902.22M","-4.27%"
"04/01/2022","12,128.76","12,157.17","12,569.97","11,814.84","854.85M","-0.27%"
"03/01/2022","12,161.53","11,987.44","12,388.79","10,871.24","1.44B","1.46%"
"02/01/2022","11,986.78","12,338.54","12,422.95","11,480.76","1.06B","-1.96%"
"01/01/2022","12,226.70","12,934.42","12,997.15","11,867.78","918.37M","-5.04%"
"12/01/2021","12,875.66","12,207.76","12,980.14","12,093.37","743.35M","5.89%"
"11/01/2021","12,159.69","12,174.92","12,625.81","12,071.67","898.16M","0.43%"
"10/01/2021","12,108.17","11,491.08","12,153.10","11,381.74","714.40M","4.00%"
"09/01/2021","11,642.45","12,472.04","12,491.18","11,465.59","882.50M","-6.19%"
"08/01/2021","12,411.11","12,165.21","12,573.43","12,124.36","665.34M","2.43%"
"07/01/2021","12,116.82","11,993.98","12,146.68","11,799.23","767.21M","1.46%"
"06/01/2021","11,942.72","11,415.20","12,072.11","11,389.88","906.75M","5.10%"
"05/01/2021","11,363.45","11,072.54","11,443.97","10,932.85","848.37M","3.09%"
"04/01/2021","11,022.34","11,102.29","11,266.78","11,022.34","1.14B","-0.23%"
"03/01/2021","11,047.37","10,659.26","11,143.86","10,606.08","1.40B","4.99%"
"02/01/2021","10,522.22","10,666.16","10,953.42","10,513.43","929.63M","-0.65%"
"01/01/2021","10,591.06","10,805.93","11,014.28","10,591.06","1.16B","-1.05%"
"12/01/2020","10,703.51","10,473.33","10,749.68","10,237.94","1.11B","2.17%"
"11/01/2020","10,476.43","9,595.66","10,644.22","9,556.93","1.52B","9.28%"
"10/01/2020","9,587.15","10,256.95","10,407.01","9,494.52","1.25B","-5.89%"
"09/01/2020","10,187.00","10,228.97","10,591.66","10,091.98","1.36B","0.51%"
"08/01/2020","10,135.56","10,013.36","10,356.75","9,999.55","903.60M","1.30%"
"07/01/2020","10,005.90","10,027.45","10,535.33","9,984.99","1.27B","-0.39%"
"06/01/2020","10,045.30","9,874.84","10,291.46","9,633.20","1.75B","2.17%"
"05/01/2020","9,831.49","9,618.93","9,966.05","9,389.66","1.48B","2.10%"
"04/01/2020","9,629.40","9,311.92","9,948.84","9,036.73","1.72B","3.41%"
"03/01/2020","9,311.92","9,844.27","10,321.42","7,650.23","3.60B","-5.28%"
"02/01/2020","9,831.03","10,650.02","11,270.00","9,725.32","1.66B","-7.50%"
"01/01/2020","10,627.88","10,585.29","10,960.75","10,536.28","1.27B","0.10%"
"12/01/2019","10,616.94","10,498.60","10,755.68","10,221.51","1.03B","1.18%"
"11/01/2019","10,493.24","10,235.56","10,544.04","10,223.80","1.15B","2.68%"
"10/01/2019","10,219.82","10,101.53","10,287.83","9,682.36","1.45B","1.40%"
"09/01/2019","10,078.32","9,903.94","10,140.93","9,829.28","1.43B","1.85%"
"08/01/2019","9,895.65","9,767.79","9,941.33","9,464.41","1.43B","-0.24%"
"07/01/2019","9,919.27","9,990.94","10,091.48","9,733.49","1.48B","0.21%"
"06/01/2019","9,898.24","9,466.04","10,062.65","9,439.06","1.02B","3.93%"
"05/01/2019","9,523.98","9,777.90","9,786.51","9,319.99","1.14B","-2.52%"
"04/01/2019","9,769.74","9,513.12","9,785.57","9,442.61","1.22B","3.08%"
"03/01/2019","9,477.84","9,431.83","9,582.91","9,228.86","1.29B","0.95%"
"02/01/2019","9,388.94","9,011.87","9,481.45","8,927.19","1.06B","4.68%"
"01/01/2019","8,969.27","8,391.90","9,027.46","8,388.97","1.14B","6.41%"
