"Date","Price","Open","High","Low","Vol.","Change %"
"02/01/2023","7,267.93","7,087.20","7,387.29","7,059.61","1.56B","2.62%"
"01/01/2023","7,082.42","6,521.07","7,117.53","6,518.21","1.53B","9.40%"
"12/01/2022","6,473.76","6,784.60","6,823.10","6,388.23","1.45B","-3.93%"
"11/01/2022","6,738.55","6,329.76","6,743.60","6,191.73","1.66B","7.53%"
"10/01/2022","6,266.77","5,697.47","6,293.15","5,654.44","1.53B","8.75%"
"09/01/2022","5,762.34","6,068.34","6,394.18","5,628.42","1.79B","-5.92%"
"08/01/2022","6,125.10","6,447.18","6,608.83","6,125.10","1.48B","-5.02%"
"07/01/2022","6,448.50","5,875.60","6,472.27","5,786.50","1.59B","8.87%"
"06/01/2022","5,922.86","6,509.19","6,593.15","5,830.87","1.83B","-8.44%"
"05/01/2022","6,468.80","6,469.31","6,582.05","6,086.02","1.95B","-0.99%"
"04/01/2022","6,533.77","6,672.98","6,757.75","6,338.61","1.63B","-1.89%"
"03/01/2022","6,659.87","6,646.16","6,829.40","5,756.38","2.93B","0.02%"
"02/01/2022","6,658.83","7,052.30","7,169.63","6,432.89","2.03B","-4.86%"
"01/01/2022","6,999.20","7,197.40","7,384.86","6,754.24","1.81B","-2.15%"
"12/01/2021","7,153.03","6,774.80","7,201.65","6,730.63","1.61B","6.43%"
"11/01/2021","6,721.16","6,870.28","7,183.08","6,655.86","1.85B","-1.60%"
"10/01/2021","6,830.34","6,421.10","6,830.34","6,412.70","1.58B","4.76%"
"09/01/2021","6,520.01","6,736.44","6,784.66","6,389.62","1.90B","-2.40%"
"08/01/2021","6,680.18","6,657.95","6,913.67","6,560.74","1.31B","1.02%"
"07/01/2021","6,612.76","6,549.82","6,671.12","6,253.25","1.59B","1.61%"
"06/01/2021","6,507.83","6,470.42","6,687.29","6,464.71","1.56B","0.94%"
"05/01/2021","6,447.17","6,285.51","6,496.32","6,150.43","1.55B","2.83%"
"04/01/2021","6,269.48","6,079.67","6,352.36","6,063.86","1.42B","3.33%"
"03/01/2021","6,067.23","5,770.89","6,097.74","5,755.60","2.06B","6.38%"
"02/01/2021","5,703.22","5,441.43","5,834.36","5,429.78","1.75B","5.63%"
"01/01/2021","5,399.21","5,614.04","5,721.89","5,379.22","1.89B","-2.74%"
"12/01/2020","5,551.41","5,542.46","5,625.60","5,306.58","1.76B","0.60%"
"11/01/2020","5,518.55","4,614.95","5,612.76","4,581.86","2.44B","20.12%"
"10/01/2020","4,594.24","4,850.20","4,998.51","4,512.57","1.98B","-4.36%"
"09/01/2020","4,803.44","4,974.42","5,131.39","4,666.26","2.11B","-2.91%"
"08/01/2020","4,947.22","4,797.06","5,096.53","4,763.60","1.49B","3.42%"
"07/01/2020","4,783.69","4,939.80","5,172.98","4,783.69","1.97B","-3.09%"
"06/01/2020","4,935.99","4,776.72","5,213.67","4,691.81","2.77B","5.12%"
"05/01/2020","4,695.44","4,413.14","4,784.09","4,194.58","2.19B","2.70%"
"04/01/2020","4,572.18","4,259.94","4,719.74","4,142.28","2.25B","4.00%"
"03/01/2020","4,396.12","5,416.02","5,509.28","3,632.06","4.76B","-17.21%"
"02/01/2020","5,309.90","5,822.04","6,111.41","5,229.56","2.25B","-8.55%"
"01/01/2020","5,806.34","6,016.61","6,109.81","5,799.04","1.64B","-2.87%"
"12/01/2019","5,978.06","5,910.12","6,065.00","5,697.06","1.46B","1.23%"
"11/01/2019","5,905.17","5,749.48","5,966.79","5,739.70","1.58B","3.06%"
"10/01/2019","5,729.86","5,696.20","5,778.24","5,393.49","1.89B","0.92%"
"09/01/2019","5,677.79","5,483.43","5,696.25","5,441.18","1.73B","3.60%"
"08/01/2019","5,480.48","5,500.91","5,563.65","5,170.77","1.78B","-0.70%"
"07/01/2019","5,518.90","5,584.13","5,672.77","5,496.77","1.58B","-0.36%"
"06/01/2019","5,538.97","5,171.61","5,582.24","5,152.30","1.73B","6.36%"
"05/01/2019","5,207.63","5,568.20","5,573.16","5,160.91","1.95B","-6.78%"
"04/01/2019","5,586.41","5,394.50","5,601.38","5,376.18","1.60B","4.41%"
"03/01/2019","5,350.53","5,267.14","5,443.10","5,211.76","1.81B","2.10%"
"02/01/2019","5,240.53","5,004.65","5,248.50","4,946.14","1.74B","4.96%"
"01/01/2019","4,992.72","4,642.18","5,016.28","4,606.20","1.81B","5.54%"
